ID,Name,Description,Ontological Scope,Field,Collection_Turtle,Authors,Users,Funders
[COL.40] Description,Description,This collection of fields enables the documentation of free text descriptions that have been written about an entity.,E1 CRM Entity,"fie_188_Description,fie_189_Description Language,fie_190_Description Type,fie_191_Description Author,fie_192_Description Date - Earliest,fie_193_Description Date - Latest,fie_194_Description - Source","<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_188_1> .
<https://example.org/conceptual_object/fie_188_1> a 
crm:E33_Linguistic_Object;
crm:P190_has_symbolic_content ""content"" .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_188_1> .
<https://example.org/conceptual_object/fie_188_1> a 
crm:E33_Linguistic_Object;
crm:P72_has_language <https://example.org/type/fie_189_1> .
<https://example.org/type/fie_189_1> a crm:E56_Language .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_188_1> .
<https://example.org/conceptual_object/fie_188_1> a 
crm:E33_Linguistic_Object;
crm:P2_has_type <https://example.org/type/fie_190_1> .
<https://example.org/type/fie_190_1> a crm:E55_Type .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_188_1> .
<https://example.org/conceptual_object/fie_188_1> a 
crm:E33_Linguistic_Object;
crm:P94i_was_created_by <https://example.org/event/fie_191_1> .
<https://example.org/event/fie_191_1> a crm:E65_Creation ;
crm:P14_carried_out_by <https://example.org/actor/fie_191_2> .
<https://example.org/actor/fie_191_2> a crm:E39_Actor.<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_188_1> .
<https://example.org/conceptual_object/fie_188_1> a 
crm:E33_Linguistic_Object;
crm:P94i_was_created_by <https://example.org/event/fie_191_1> .
<https://example.org/event/fie_191_1> a crm:E65_Creation ;
crm:P4_has_time-span <https://example.org/time_span/fie_192_1> .
<https://example.org/time_span/fie_192_1> a crm:E52_Time-span;
crm:P81a_begin_of_the_begin ""content"" .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_188_1> .
<https://example.org/conceptual_object/fie_188_1> a 
crm:E33_Linguistic_Object;
crm:P94i_was_created_by <https://example.org/event/fie_191_1> .
<https://example.org/event/fie_191_1> a crm:E65_Creation ;
crm:P4_has_time-span <https://example.org/time_span/fie_192_1> .
<https://example.org/time_span/fie_192_1> a crm:E52_Time-span;
crm:P81b_end_of_the_end ""content"" .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_188_1> .
<https://example.org/conceptual_object/fie_188_1> a 
crm:E33_Linguistic_Object;
crm:P94i_was_created_by <https://example.org/event/fie_191_1> .
<https://example.org/event/fie_191_1> a crm:E65_Creation ;
crm:P63_used_specific_object <https://example.org/conceptual_object/fie_194_1> .
<https://example.org/conceptual_object/fie_194_1> a crm:E73_Information_Object .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.44] Creation,Creation,This collection of fields enables the documentation of information describing the various parameters involved in the creation of a conceptual/abstract object. ,E36 Visual Item,"fie_242_Creation Date - Earliest,fie_243_Creation Date - Latest,fie_244_Creation Location,fie_245_Creation Period,fie_298_Intellectual Creator,fie_300_Intellectual Creator Role","<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P94i_was_created_by <https://example.org/event/fie_242_1> .
<https://example.org/event/fie_242_1> a crm:E65_Creation;
crm:P4_has_time-span <https://example.org/time_span/fie_242_2> .
<https://example.org/time_span/fie_242_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P94i_was_created_by <https://example.org/event/fie_242_1> .
<https://example.org/event/fie_242_1> a crm:E65_Creation;
crm:P4_has_time-span <https://example.org/time_span/fie_242_2> .
<https://example.org/time_span/fie_242_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P94i_was_created_by <https://example.org/event/fie_242_1> .
<https://example.org/event/fie_242_1> a crm:E65_Creation;
crm:P7_took_place_at <https://example.org/place/fie_244_1> . <https://example.org/place/fie_244_1> a crm:E53_Place .<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P94i_was_created_by <https://example.org/event/fie_242_1> .
<https://example.org/event/fie_242_1> a crm:E65_Creation;
crm:P10_falls_within <https://example.org/event/fie_245_1> . <https://example.org/event/fie_245_1> a crm:E4_Period .<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P94i_was_created_by <https://example.org/event/fie_242_1> .
<https://example.org/event/fie_242_1> a crm:E65_Creation;
crm:P01i_is_domain_of <https://example.org/property/fie_298_1> .
<https://example.org/property/fie_298_1> a crm:PC14_carried_out_by;
crm:P02_has_range <https://example.org/actor/fie_298_2> .
<https://example.org/actor/fie_298_2> a crm:E39_Actor .


<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P94i_was_created_by <https://example.org/event/fie_242_1> .
<https://example.org/event/fie_242_1> a crm:E65_Creation;
crm:P01i_is_domain_of <https://example.org/property/fie_298_1> .
<https://example.org/property/fie_298_1> a crm:PC14_carried_out_by;
crm:P14.1_in_the_role_of <https://example.org/type/fie_300_1> .
<https://example.org/type/fie_300_1> a crm:E55_Type .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.48] Reference,Reference,This collection of fields enables the documentation of reference information with regards to an object of documentation.,E89 Propositional Object,"fie_101_Temporal Reference,fie_102_Physical Geographic Reference,fie_103_Subject Reference","<http://www.srdm.org/conceptual_object/E89> a <http://www.cidoc-crm.org/cidoc-crm/E89_Propositional_Object>;
crm:P129_is_about <https://example.org/event/fie_101_1> . <https://example.org/event/fie_101_1> a crm:E4_Period .<http://www.srdm.org/conceptual_object/E89> a <http://www.cidoc-crm.org/cidoc-crm/E89_Propositional_Object>;
crm:P129_is_about <https://example.org/place/fie_102_1> . <https://example.org/place/fie_102_1> a crm:E53_Place .<http://www.srdm.org/conceptual_object/E89> a <http://www.cidoc-crm.org/cidoc-crm/E89_Propositional_Object>;
crm:P129_is_about <https://example.org/type/fie_103_1> . <https://example.org/type/fie_103_1> a crm:E55_Type .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.49] Depiction,Depiction,This collection of fields enables the documentation of images that have been taken of an entity.,E36 Visual Item,"fie_246_Physical Object Depicted,fie_247_Type Depicted,fie_248_Actor Depicted","<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P138_represents <https://example.org/physical_object/fie_246_1> . <https://example.org/physical_object/fie_246_1> a crm:E18_Physical_Object .

<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P138_represents <https://example.org/type/fie_247_1> . <https://example.org/type/fie_247_1> a crm:E55_Type .

<http://www.srdm.org/conceptual_object/E36> a <http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item>;
crm:P138_represents <https://example.org/actor/fie_248_1> . <https://example.org/actor/fie_248_1> a crm:E39_Actor .
","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.52] Media,Media,This collection of fields enables the documentation of analogue and digital media files that related to an entity.,E73 Information Object,"fie_249_Digital Object Carrier,fie_250_Physical Information Carrier","<http://www.srdm.org/conceptual_object/E73> a <http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object>;
crm:P165i_is_incorporated_by <https://example.org/conceptual_object/fie_249_1> . <https://example.org/conceptual_object/fie_249_1> a crmdig:D1_Digital_Object.

<http://www.srdm.org/conceptual_object/E73> a <http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object>;
crm:P128i_is_carried_by <https://example.org/physical_object/fie_250_1> . <https://example.org/physical_object/fie_250_1> a crm:E22_Human_Made_Object.

","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.53] Condition Assessment,Condition Assessment,This collection of fields enables the documentation of an action of attributing a condition to a physical object.,E24 Physical Human-Made Thing,"fie_255_Condition State Type,fie_256_Condition Assessment Assigned By,fie_257_Condition Assessment Description,fie_258_Condition Assessment Date Earliest,fie_259_Condition Assessment Date Latest","<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P44_has_condition <https://example.org/event/fie_255_1> .
<https://example.org/event/fie_255_1> a crm:E3_Condition_State; 
crm:P2_has_type <https://example.org/type/fie_255_2> .
<https://example.org/type/fie_255_2> a crm:E55_Type .
<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P44_has_condition <https://example.org/event/fie_255_1> .
<https://example.org/event/fie_255_1> a crm:E3_Condition_State; 
crm:P34i_was_assessed_by <https://example.org/event/fie_256_1> .
<https://example.org/event/fie_256_1> a crm:E14_Condition_Assessment;
crm:P14_carried_out_by 
<https://example.org/actor/fie_256_2> .
<https://example.org/actor/fie_256_2> a crm:E39_Actor .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P44_has_condition <https://example.org/event/fie_255_1> .
<https://example.org/event/fie_255_1> a crm:E3_Condition_State; 
crm:P67i_is_referred_by
<https://example.org/conceptual_object/fie_257_1> .
<https://example.org/conceptual_object/fie_257_1> a crm:E33_Linguistic_Object .
<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P44_has_condition <https://example.org/event/fie_255_1> .
<https://example.org/event/fie_255_1> a crm:E3_Condition_State; 
crm:P34i_was_assessed_by <https://example.org/event/fie_256_1> .
<https://example.org/event/fie_256_1> a crm:E14_Condition_Assessment;
crm:P4_has_time-span <https://example.org/time_span/fie_258_1> .
<https://example.org/time_span/fie_258_1> a crm:E52_Time-Span ; 
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .
<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P44_has_condition <https://example.org/event/fie_255_1> .
<https://example.org/event/fie_255_1> a crm:E3_Condition_State; 
crm:P34i_was_assessed_by <https://example.org/event/fie_256_1> .
<https://example.org/event/fie_256_1> a crm:E14_Condition_Assessment;
crm:P4_has_time-span <https://example.org/time_span/fie_258_1> .
<https://example.org/time_span/fie_258_1> a crm:E52_Time-Span ; 
crm:P82b_end_of_the_end """"^^xsd:dateTime .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.54] Recto/Verso,Recto/Verso,This collection of fields enables the documentation of text transcription that appears on the documented writing surface.,E18 Physical Thing,"fie_264_Recto/Verso Type,fie_265_Recto/Verso Description,fie_266_Recto/Verso Digital Image,fie_267_Recto/Verso Transcription","<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P56_bears_feature <https://example.org/physical_object/fie_264_1> .
<https://example.org/physical_object/fie_264_1> a crm:E26_Physical_Feature;
crm:P2_has_type <https://example.org/type/fie_264_2> .
<https://example.org/type/fie_264_2> a crm:E55_Type .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:PP56_bears_feature <https://example.org/physical_object/fie_264_1> .
<https://example.org/physical_object/fie_264_1> a crm:E26_Physical_Feature;
crm:P67i_is_referred_to_by <https://example.org/conceptual_object/fie_265_1> .
<https://example.org/conceptual_object/fie_265_1> a crm:E33_Linguistic_Object .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P56_bears_feature <https://example.org/physical_object/fie_264_1> .
<https://example.org/physical_object/fie_264_1> a crm:E26_Physical_Feature;
crm:P138i_has_representation <https://example.org/conceptual_object/fie_266_1> .
<https://example.org/conceptual_object/fie_266_1> a 
crm:E36_Visual_Item, crmdig:D9_Data_Object .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P56_bears_feature <https://example.org/physical_object/fie_264_1> .
<https://example.org/physical_object/fie_264_1> a crm:E26_Physical_Feature;
crm:P67i_is_referred_to_by <https://example.org/conceptual_object/fie_267_1> .
<https://example.org/conceptual_object/fie_267_1> a 
crm:E33_Linguistic_Object .
","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.55] Coverage,Coverage,This collection of fields enables the documentation of an archival unit's coverage.,E1 CRM Entity,"fie_283_Archival Unit Person Coverage,fie_284_Archival Unit Geographic Coverage,fie_285_Archival Unit Temporal Coverage,fie_286_Archival Unit Subject Coverage","<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P128_carries 
<https://example.org/conceptual_object/fie_273_1> .
<https://example.org/conceptual_object/fie_273_1> a crm:E33_Linguistic_Object;
crm:P129_is_about <https://example.org/actor/fie_283_1> .
<https://example.org/actor/fie_283_1> a crm:E39_Actor .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:PP128_carries 
<https://example.org/conceptual_object/fie_273_1> .
<https://example.org/conceptual_object/fie_273_1> a crm:E33_Linguistic_Object;
crm:P129_is_about <https://example.org/place/fie_284_1> .
<https://example.org/place/fie_284_1> a crm:E53_Place .
<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:PP128_carries 
<https://example.org/conceptual_object/fie_273_1> .
<https://example.org/conceptual_object/fie_273_1> a crm:E33_Linguistic_Object;
crm:P129_is_about <https://example.org/period/fie_285_1> .
<https://example.org/period/fie_285_1> a crm:E4_Period .
<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P128_carries 
<https://example.org/conceptual_object/fie_273_1> .
<https://example.org/conceptual_object/fie_273_1> a crm:E33_Linguistic_Object;
crm:P129_is_about <https://example.org/type/fie_286_1> .
<https://example.org/type/fie_286_1> a crm:E55_Type .
","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.56] Appraisal,Appraisal,This collection of fields enables the documentation of an action of value appraisal to a physical object.,E18 Physical Thing,"fie_288_Appraised Amount/Value,fie_289_Appraised Amount Currency,fie_290_Appraisal Event Type,fie_291_Appraisal Description,fie_292_Appraiser,fie_293_Appraisal Date Earliest,fie_294_Appraisal Date Latest","<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P140i_was_attributed_by
<https://example.org/event/fie_288_1> .
<https://example.org/event/fie_288_1> a crm:E13_Attribute_Assignment;
crm:P141_assigned
<https://example.org/dimension/fie_288_2> .
<https://example.org/dimension/fie_288_2> a crm:E97_Monetary_Amount; 
crm:P90_has_value ""content"" .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P140i_was_attributed_by
<https://example.org/event/fie_288_1> .
<https://example.org/event/fie_288_1> a crm:E13_Attribute_Assignment;
crm:P141_assigned <https://example.org/dimension/fie_288_2> .
<https://example.org/dimension/fie_288_2> a crm:E97_Monetary_Amount; 
crm:P180_has_currency
<https://example.org/type/fie_289_1> .
<https://example.org/type/fie_289_1> a crm:E98_Currency .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P140i_was_attributed_by
<https://example.org/event/fie_288_1> .
<https://example.org/event/fie_288_1> a crm:E13_Attribute_Assignment;
crm:P2_has_type <https://example.org/type/fie_290_1> .
<https://example.org/type/fie_290_1> a crm:E55_Type .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P140i_was_attributed_by
<https://example.org/event/fie_288_1> .
<https://example.org/event/fie_288_1> a crm:E13_Attribute_Assignment;
crm:P129i_is_subject_of <https://example.org/conceptual_object/fie_291_1> .
<https://example.org/conceptual_object/fie_291_1> a crm:E33_Linguistic_Object .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P140i_was_attributed_by
<https://example.org/event/fie_288_1> .
<https://example.org/event/fie_288_1> a crm:E13_Attribute_Assignment;
crm:P14_carried_out_by <https://example.org/actor/fie_292_1> .
<https://example.org/actor/fie_292_1> a crm:E39_Actor .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P140i_was_attributed_by
<https://example.org/event/fie_288_1> .
<https://example.org/event/fie_288_1> a crm:E13_Attribute_Assignment;
crm:P4_has_time-span <https://example.org/time_span/fie_293_1> .
<https://example.org/time_span/fie_293_1>
a crm:E52_Time-Span; 
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .
<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P140i_was_attributed_by
<https://example.org/event/fie_288_1> .
<https://example.org/event/fie_288_1> a crm:E13_Attribute_Assignment;
crm:P4_has_time-span <https://example.org/time_span/fie_293_1> .
<https://example.org/time_span/fie_293_1>
a crm:E52_Time-Span; 
crm:P82b_end_of_the_end """"^^xsd:dateTime .
","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.57] Documentation,Documentation,This collection of fields enables the documentation of digital reference information with regards to an object of documentation.,E73 Information Object,"fie_295_Digital Object Reference,fie_195_Image,fie_196_Citation,fie_197_Citation Source","<http://www.srdm.org/conceptual_object/E73> a <http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object>;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_295_1> .
<https://example.org/conceptual_object/fie_295_1> a crmdig:D1_Digital_Object .
","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.58] Substance,Substance,"This collection of fields enables the documentation of information describing the substance of a phsyical entity, such as the material it is composed of or the technique by which it has been produced.",E18 Physical Thing,"fie_90_Material,fie_91_Technique","<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:P45_consists_of
<https://example.org/type/material/fie_90_1> .
<https://example.org/type/material/fie_90_1> a
crm:E57_Material .<http://www.srdm.org/physical_object/E18> a <http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing>;
crm:108i_was_produced_by <https://example.org/event/fie_58_1> .
<https://example.org/event/fie_58_1> a crm:E12_Production;
crm:P32_used_general_technique <https://example.org/type/fie_91_1> .
<https://example.org/type/fie_91_1> a crm:E55_Type .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.59] Use,Use,This collection of fields enables the documentation of a use attributed to a physical object.,E19 Physical Object,"fie_268_Object Use Event User,fie_269_Object Use Event Type,fie_270_Object Use Event Time Earliest,fie_271_Object Use Event Time Latest,fie_272_Object Use Purpose","<http://www.srdm.org/object/E19> a <http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object>;
crm:P16i_was_used_for <https://example.org/event/fie_268_1> .
<https://example.org/event/fie_268_1> a crm:E7_Activity;
crm:P14_carried_out_by <https://example.org/actor/fie_268_2> .
<https://example.org/actor/fie_268_2> a crm:E39_Actor .
<http://www.srdm.org/object/E19> a <http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object>;
crm:P16i_was_used_for <https://example.org/event/fie_268_1> .
<https://example.org/event/fie_268_1> a crm:E7_Activity;
crm:P2_has_type <https://example.org/type/fie_269_1> .
<https://example.org/type/fie_269_1> a crm:E55_Type .
<http://www.srdm.org/object/E19> a <http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object>;
crm:P16i_was_used_for <https://example.org/event/fie_268_1> .
<https://example.org/event/fie_268_1> a crm:E7_Activity;
crm:P4_has_time-span <https://example.org/time_span/fie_270_1> .
<https://example.org/time_span/fie_270_1> a crm:E52_Time-Span; 
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .
<http://www.srdm.org/object/E19> a <http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object>;
crm:P16i_was_used_for <https://example.org/event/fie_268_1> .
<https://example.org/event/fie_268_1> a crm:E7_Activity;
crm:P4_has_time-span <https://example.org/time_span/fie_270_1> .
<https://example.org/time_span/fie_270_1> a crm:E52_Time-Span; 
crm:P82b_end_of_the_end """"^^xsd:dateTime .
<http://www.srdm.org/object/E19> a <http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object>;
crm:P16i_was_used_for <https://example.org/event/fie_268_1> .
<https://example.org/event/fie_268_1> a crm:E7_Activity;
crm:P32_used_general_technique <https://example.org/type/fie_272_1> .
<https://example.org/type/fie_272_1> a crm:E55_Type .

","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.60] Curation,Curation,This collection of fields enables the documentation of a curation event that has occurred to an archival holding.,E1 CRM Entity,"fie_276_Curation Date - Earliest,fie_277_Curation Date - Latest,fie_278_Curation Location,fie_279_Curation Period,fie_280_Curator,fie_281_Rules or Conventions Description,fie_282_Rules or Conventions Type","<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P147i_was_curated_by <https://example.org/event/fie_276_1> .
<https://example.org/event/fie_276_1> a crm:E87_Curation_Activity;
crm:P4_has_time-span <https://example.org/time_span/fie_276_2> .
<https://example.org/time_span/fie_276_2> a crm:E52_Time-Span; crm:P82a_begin_of_the_begin """"^^xsd:dateTime .
<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P147i_was_curated_by <https://example.org/event/fie_276_1> .
<https://example.org/event/fie_276_1> a crm:E87_Curation_Activity;
crm:P4_has_time-span <https://example.org/time_span/fie_276_2> .
<https://example.org/time_span/fie_276_2> a crm:E52_Time-Span; 
crm:P82b_end_of_the_end """"^^xsd:dateTime .
<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P147i_was_curated_by <https://example.org/event/fie_276_1> .
<https://example.org/event/fie_276_1> a crm:E87_Curation_Activity;
crm:P7_took_place_at <https://example.org/place/fie_278_1> .
<https://example.org/place/fie_278_1> a crm:E53_Place .
<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P147i_was_curated_by <https://example.org/event/fie_276_1> .
<https://example.org/event/fie_276_1> a crm:E87_Curation_Activity;
crm:P10_falls_within <https://example.org/period/fie_279_1> .
<https://example.org/period/fie_279_1> a crm:E4_Period .
<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P147i_was_curated_by <https://example.org/event/fie_276_1> .
<https://example.org/event/fie_276_1> a crm:E87_Curation_Activity;
crm:P14_carried_out_by <https://example.org/actor/fie_280_1> .
<https://example.org/actor/fie_280_1> a crm:E39_Actor .
<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P147i_was_curated_by <https://example.org/event/fie_276_1> .
<https://example.org/event/fie_276_1> a crm:E87_Curation_Activity;
crm:P33_used_specific_technique <https://example.org/event/fie_281_1> .
<https://example.org/event/fie_281_1> a crm:E29_Design_or_Procedure; 
crm:P190_has_symbolic_content ""literal"" .
<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P147i_was_curated_by 
<https://example.org/event/fie_276_1> .
<https://example.org/event/fie_276_1> a crm:E87_Curation_Activity;
crm:P33_used_specific_technique <https://example.org/event/fie_281_1> .
<https://example.org/event/fie_281_1> a crm:E29_Design_or_Procedure; 
crm:P2_has_type <https://example.org/type/fie_282_1> .
<https://example.org/type/fie_282_1> a crm:E55_Type . 
","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute